year,country,iso,ifs,pop,rgdpmad,rgdpbarro,rconsbarro,gdp,iy,cpi,ca,imports,exports,narrowm,money,stir,ltrate,hpnom,unemp,wage,debtgdp,revenue,expenditure,xrusd,tloans,tmort,thh,tbus,bdebt,lev,ltd,noncore,crisisJST,crisisJST_old,peg,peg_strict,peg_type,peg_base,JSTtrilemmaIV,eq_tr,housing_tr,bond_tr,bill_rate,rent_ipolated,housing_capgain_ipolated,housing_capgain,housing_rent_rtn,housing_rent_yd,eq_capgain,eq_dp,eq_capgain_interp,eq_tr_interp,eq_dp_interp,bond_rate,eq_div_rtn,capital_tr,risky_tr,safe_tr,xrusd_return,eq_tr_usd,bond_tr_usd,bill_rate_usd,cum_eq_tr_usd
1987,Norway,NOR,142,4186.147,18164.3,66.84255496401018,65.07,634875.0,0.314902933648356,86.09739393720936,-25584.4125,152041.0,144543.0,32433.08,298664.8,14.100000000000001,13.56,121.03998992203573,2.03,86.22511937335695,0.33899999999999997,242870.0,227794.0,6.2325,552866.0,211289.2813,356470.0,196396.0,512437.90625,3.986654281616211,132.94886779785156,44.91030502319336,0,0,0,0,FLOAT,DEU,0.0,-0.10823144018650055,0.2812232971191406,0.15164756774902344,0.10890000313520432,,,0.23073042929172516,0.05049285292625427,0.04102673754096031,-0.12877529859542847,0.023580441251397133,,,,0.1356000006198883,0.020543862134218216,0.22081568837165833,0.24516436457633972,0.13027378916740417,-0.15777027027027032,0.05881866708702721,0.36737938248580404,0.31662415133582233,262.11496580790265
1988,Norway,NOR,142,4208.729,18059.1,66.348373101727,63.22,664084.0,0.3037928936700779,91.86461449735067,-25596.72,151101.0,146166.0,33132.08,340522.5,14.365000000000002,12.97,120.56884509329113,3.02,91.39868018670529,0.33,263841.0,249393.0,6.57,582009.0,227165.1406,360731.0,221278.0,551947.8125,3.935626268386841,133.74456787109375,41.76476287841797,1,1,0,0,FLOAT,DEU,0.0,0.33755502104759216,0.04043818637728691,0.21263550221920013,0.11140000075101852,,,-0.0038912754971534014,0.044329460710287094,0.044502634555101395,0.31366050243377686,0.018189257010817528,,,,0.12970000505447388,0.02389450930058956,0.0928298607468605,0.0755283311009407,0.16201774775981903,0.05415162454873652,0.26884500284309243,0.15034258258465205,0.05430753495901408,332.8521095385884
1989,Norway,NOR,142,4226.142,18156.7,66.73740552587194,62.46,708635.0,0.27391534428866765,96.04945391630316,1402.38,163380.0,187146.0,35012.33,358695.9,11.502499999999998,10.835,104.10313116750416,4.83,95.41981865979935,0.33,274757.0,270000.0,6.615,624196.0,257770.9688,343658.0,280538.0,593573.0625,4.377664566040039,130.29669189453125,37.6878547668457,0,0,0,0,FLOAT,DEU,0.0,0.5978066325187683,-0.08937157690525055,0.15526416897773743,0.09300000220537186,,,-0.1365690976381302,0.04719752445816994,0.05466277152299881,0.5703155994415283,0.017506688833236694,,,,0.1083500012755394,0.027491027489304543,0.04360892251133919,0.02489328198134899,0.12413208186626434,0.00684931506849314,0.586937199644491,0.1474052290527188,0.08556462804070941,528.8023318065734
1990,Norway,NOR,142,4242.006,18466.0,67.77526942453257,62.62,749860.0,0.24583922332168673,100.0,23582.739999999998,169998.0,211579.0,32111.17,383286.6,11.782727272727273,10.7183,100.0,5.261,100.0,0.295,291424.0,295380.0,5.9075,636180.0,266223.8125,359182.0,276998.0,607930.25,3.9554989337921143,127.57083892822266,37.173526763916016,0,0,0,0,FLOAT,DEU,0.0,-0.07799999415874481,0.02071886882185936,0.12392409145832062,0.08950000256299973,,,-0.03941288962960243,0.06013175845146179,0.06259896606206894,-0.09171310067176819,0.015097771771252155,,,,0.10718300193548203,0.013713108375668526,0.02367640845477581,0.006298157386481762,0.10671204328536987,-0.10695389266817845,0.03242150463646265,0.25852862716831004,0.21998180566301206,545.9793205636489
1991,Norway,NOR,142,4261.733,18951.362474863494,69.55266387446552,63.76,790087.0,0.2217211522275395,103.42068269473393,30056.136,165181.0,220316.0,31870.08,409362.9,10.476666666666668,9.8675,92.20441470822894,5.407,104.80481952269486,0.278,296177.0,314649.0,5.973,636411.0,280036.75,376508.0,259903.0,586783.125,2.6352298259735107,103.11678314208984,20.49245262145996,0,0,0,0,FLOAT,DEU,0.0,-0.11708487570285797,-0.009711630642414093,0.1519794464111328,0.08699999749660492,,,-0.07795599848031998,0.06824436783790588,0.07401421666145325,-0.13102610409259796,0.016043318435549736,,,,0.09867499768733978,0.013941224664449692,0.00108997558709234,-0.022585563361644745,0.11948972195386887,0.011087600507829051,-0.12676693507695191,0.13934682398690224,0.07507994060123768,476.6404285453216
1992,Norway,NOR,142,4286.357,19506.31771479764,71.5843231938146,64.92,813093.0,0.21511069459459128,105.84291532999312,20648.859,161931.0,218375.0,34024.7,447305.8,10.833333333333334,9.78417,84.604229945551,5.91,108.53751138596823,0.324,309936.0,332955.0,6.9245,708396.0,327615.9063,462812.0,245584.0,673506.375,3.7150142192840576,106.8603515625,16.798152923583984,0,0,0,0,FLOAT,DEU,0.0,-0.047744039446115494,-0.0033848583698272705,0.1383606344461441,0.08649999648332596,,,-0.0824277400970459,0.07904288172721863,0.08614349365234375,-0.06745339930057526,0.021134989336133003,,,,0.09784170240163803,0.019709361717104912,0.01452513039112091,-0.008209931664168835,0.11243031919002533,0.15930018416206265,-0.17859414363660164,-0.018062232717623194,-0.06279666705250841,391.33664524305044
1993,Norway,NOR,142,4311.964,19930.841195187342,73.16135979622298,66.09,855400.0,0.22024783726911387,108.2471254010021,16178.735999999999,170992.0,226626.0,36284.5,471871.7,7.009999999999999,6.51667,89.9620676623322,5.965,112.26992092253325,0.408,318836.0,338747.0,7.518,713789.0,354750.2813,480646.0,233143.0,678900.5,5.412800312042236,109.35990142822266,24.16348648071289,0,0,0,0,FLOAT,DEU,0.0,0.5936322808265686,0.1541273295879364,0.3273673355579376,0.06419999897480011,,,0.06332900375127792,0.09079833328723907,0.08539062738418579,0.5625683069229126,0.019880084320902824,,,,0.06516669690608978,0.0310639888048172,0.2183196097612381,0.2244330644607544,0.19578367471694946,0.08571015957830885,0.4678247843287542,0.22257982376575414,-0.019812065323090766,574.8814516881474
1994,Norway,NOR,142,4336.638,20818.4862012987,76.47479691556696,68.02,897243.0,0.2292634213919752,109.76102079803921,25425.12,192964.0,244477.0,45245.42,492108.3,5.346666666666667,7.12667,102.74596531500634,5.349,115.67533810816889,0.37200000000000005,342710.0,347740.0,6.762,723160.0,384944.4688,524941.0,198219.0,647271.5,6.485955238342285,108.04442596435547,22.1890811920166,0,0,0,0,FLOAT,DEU,0.0,0.1140637993812561,0.22849440574645996,-0.10257603973150253,0.04039999842643738,,,0.1421031802892685,0.08639121800661087,0.07564222067594528,0.0854376032948494,0.026372959837317467,,,,0.07126670330762863,0.028626201674342155,0.1621733158826828,0.20831458270549774,-0.031088020652532578,-0.10055865921787713,0.2386175160822661,-0.002242926161111547,0.1567180106728714,712.2968532478227
1995,Norway,NOR,142,4359.101,21578.254685600237,79.28872296133812,70.39,963124.0,0.23965553760471134,112.45719640990521,33067.327,208627.0,265883.0,43391.0,521102.7,5.4558333333333335,6.82333,110.6762034069118,6.3073,119.47282525164948,0.348,411684.0,381018.0,6.319,761765.0,406970.4375,545364.0,216401.0,680777.0,7.01747465133667,111.66710662841797,23.314556121826172,0,0,0,0,FLOAT,DEU,0.0,0.16798806190490723,0.15472647547721863,0.19415044784545898,0.04019999876618385,,,0.07718061655759811,0.07754586637020111,0.07198966294527054,0.13576379418373108,0.028372332453727722,,,,0.06823329627513885,0.03222426772117615,0.1499994397163391,0.1571575254201889,0.11717522144317627,-0.06551316178645365,0.24987106735258457,0.2778675942919755,0.11312429049801143,890.5290993080961
1996,Norway,NOR,142,4381.277,22563.885439871454,82.92949663566601,74.75,1054657.0,0.22662344250310765,113.87376995998994,70667.7825,229720.0,320130.0,46202.75,553386.5,4.658333333333333,5.94333,122.27398065590751,5.0358,124.58640717017235,0.314,461888.0,395216.0,6.4425,815970.156,459166.5625,579249.156,236721.0,748769.0,6.697429656982422,112.574951171875,30.633678436279297,0,0,0,0,FLOAT,DEU,0.0,0.33442699909210205,0.1787995994091034,0.09554737061262131,0.03709999844431877,,,0.10479236394166946,0.07400724291801453,0.06698746979236603,0.30008989572525024,0.026411335915327072,,,,0.05943330004811287,0.034337110817432404,0.18824942409992218,0.21116575598716736,0.06632368266582489,0.019544231682228193,0.3088465979453616,0.07454619090433123,0.017219230138866948,1165.874828598694
