country,year,eq_tr,xrusd_return,eq_tr_usd,mkt_cap_pct_gdp,gdp,xrusd,mkt_cap
Switzerland,1888,,-0.0029772283259759907,,,1847.8818103596793,5.205586800000001,
Switzerland,1889,,-0.0020381948102376397,,,1934.9123622509185,5.194976799999999,
Switzerland,1890,,0.0010250093898399378,,,2148.5452870743,5.2003017,
Switzerland,1891,,0.0015822158933588009,,,2136.34406282141,5.208529700000001,
Switzerland,1892,,-0.006606797307885294,,,2253.16377551509,5.174118,
Switzerland,1893,,0.0030221962467805283,,,2289.4331331926,5.1897552,
Switzerland,1894,,-0.004577325728196214,,,2286.06392866269,5.1659999999999995,
Switzerland,1895,,0.0007023228803717626,,,2481.2595950991,5.1696282,
Switzerland,1896,,0.0035007353140018185,,,2644.60841007428,5.1877257,
Switzerland,1897,,0.0011442200962939832,,,2828.70875713945,5.1936616,
Switzerland,1898,,0.008409577551221303,,,2919.15013310536,5.2373381000000006,
Switzerland,1899,,-0.004453044572394623,,,2978.51557400157,5.214016,
Switzerland,1900,0.06717817485332489,-0.0024842271293375154,0.06983589019568792,,3072.68181892849,5.2010632,
Switzerland,1901,0.03180791437625885,-0.004786175257397405,0.036770077669611156,,3074.49984174935,5.17617,
Switzerland,1902,0.08464536815881729,0.0017565304076180184,0.08274349628394395,,3209.38167022523,5.1852621,
Switzerland,1903,0.07650520652532578,-0.001512536849390889,0.0781359268433286,,3245.14770888331,5.1774192,
Switzerland,1904,0.1426810771226883,0.0005347838166164405,0.14207031640003942,,3445.13386131766,5.180187999999999,
Switzerland,1905,0.07414871454238892,-0.00021698054201874813,0.07438183449517277,,3661.23919286058,5.179064,
Switzerland,1906,0.06805161386728287,0.002392111779271212,0.06550281203975605,,4040.62326107662,5.1914529,
Switzerland,1907,-0.07123715430498123,-0.0001474153796135594,-0.07110022019131779,,4265.06473341887,5.1906876,
Switzerland,1908,0.09107472747564316,-0.003951904175470029,0.09540365776458803,,4289.54083436239,5.1701745,
Switzerland,1909,0.11583172529935837,-0.00038824608337684213,0.1162651108566588,,4586.80962397439,5.1681672,
Switzerland,1910,0.06308232992887497,0.004972749333651686,0.057822046054236687,,4817.19488631367,5.193867200000001,
Switzerland,1911,0.037536170333623886,0.0009220297353770287,0.036580412370308846,,4988.9990976937,5.1986561,
Switzerland,1912,0.007718436885625124,0.00013453476947616338,0.007582881954873333,,5184.09902248617,5.199355499999999,
Switzerland,1913,0.046336449682712555,-0.00028909352322590377,0.04663902624635585,,5192.40227624873,5.1978524,
Switzerland,1914,0.06035903841257095,-0.016013613622426166,0.07761555758525662,,4858.70871890016,5.114616,
Switzerland,1915,-0.01672138273715973,0.04160312328432869,-0.055994941564290523,,5222.71130766045,5.3274,
Switzerland,1916,0.08325892686843872,-0.020122386154596942,0.10550431152042439,,6537.62755766299,5.2202,
Switzerland,1917,-0.0221231859177351,-0.0864909390444811,0.07046208502783546,,7915.56960524934,4.7687,
Switzerland,1918,0.050554729998111725,-0.08165747478348401,0.14396829195122396,,9568.99575821377,4.3793,
Switzerland,1919,-0.06939145922660828,0.20290914073025376,-0.22636838538907067,,9758.2660051866,5.2679,
Switzerland,1920,-0.15303678810596466,0.12304713453178688,-0.24583467082426125,,11072.6969104021,5.9161,
Switzerland,1921,-0.13197241723537445,-0.02597995300958397,-0.10881959211547254,,8244.74443958001,5.7624,
Switzerland,1922,0.27203482389450073,-0.08975426905456073,0.3974631032581546,,7699.93107690238,5.2452,
