year,iso,eq_tr,bond_tr,bill_rate,cpi,xrusd,eq_tr_usd,bond_tr_usd,bill_rate_usd,xrusd_return,cpi_return
1881,DEU,0.17513629794120789,0.04694615304470062,0.04125000163912773,1.2332708566424673e-11,4.229631e-12,0.171558070814259,0.04375825804746292,0.03807945111802802,0.003054246491138124,-0.01652893301041131
1882,DEU,-0.003734889905899763,0.042354702949523926,0.038750000298023224,1.2436344776962788e-11,4.202491e-12,0.0026990644054727397,0.049086307285630904,0.045458325195825156,-0.00641663539916362,0.008403361676790174
1883,DEU,0.0836617574095726,0.046306971460580826,0.03500000014901161,1.202179997120874e-11,4.213696999999999e-12,0.08077984310640107,0.043524399310236994,0.032247498010943954,0.0026665137414926565,-0.03333333171350754
1884,DEU,0.06552354246377945,0.05099194496870041,0.02889999933540821,1.1918163797253297e-11,4.207962e-12,0.06697573654633748,0.05242433404550173,0.030302279464408333,-0.0013610375876574588,-0.008620686935703784
1885,DEU,0.010078897699713707,0.05138763412833214,0.02850000001490116,1.1607255142424707e-11,4.2015954e-12,0.01160945161980198,0.05298078241468107,0.030058467091501395,-0.0015129889480940551,-0.026086959377101662
1886,DEU,0.09612987190485,0.053658198565244675,0.02160000056028366,1.1503618935597578e-11,4.1946343999999996e-12,0.09794890052825744,0.05540674540408541,0.023295346787335136,-0.0016567516234429374,-0.008928571445658765
1887,DEU,0.006245369091629982,0.03385138884186745,0.023000000044703484,1.1503618935597578e-11,4.1948e-12,0.006205645092125289,0.03381057502714602,0.02295961461512208,0.00003947900679980012,0.0
1888,DEU,0.16583238542079926,0.05711447820067406,0.0210999995470047,1.1607255142424705e-11,4.1797e-12,0.17004418746875816,0.06093351512218259,0.0247889269803514,-0.003599694860303186,0.009009009026405472
1889,DEU,0.1727822870016098,0.030128387734293938,0.02630000002682209,1.2021799971208739e-11,4.1864e-12,0.17090534229424548,0.02847974923873231,0.024657488561080854,0.0016029858602291938,0.03571428590975533
1890,DEU,-0.043401967734098434,0.0009446745971217752,0.03779999911785126,1.2332708566424672e-11,4.181899999999999e-12,-0.042372605208644054,0.0020217570323037837,0.038916740311096376,-0.0010749092298874062,0.025862066908494078
1891,DEU,-0.04240553081035614,0.03385338559746742,0.03020000085234642,1.2539981073541056e-11,4.1794e-12,-0.041832724624546236,0.0344718077307864,0.03081623763325525,-0.0005978143905879232,0.016806730330162487
1892,DEU,0.056862808763980865,0.046211425215005875,0.017999999225139618,1.2436344776962785e-11,4.1784e-12,0.057115743573660005,0.04646181087104995,0.018243633151816097,-0.0002392687945637395,-0.008264469935839062
1893,DEU,0.045284271240234375,0.03657173737883568,0.031700000166893005,1.171089137929984e-11,4.1875e-12,0.043012728107509446,0.034319127752531875,0.02945797747996326,0.002177867126172705,-0.05833332950102685
1894,DEU,0.16976386308670044,0.08479717373847961,0.017400000244379044,1.1503618935597576e-11,4.180799999999999e-12,0.17163848466216014,0.08653563074767612,0.01903044896271955,-0.0016000000000001837,-0.017699117598224758
1895,DEU,0.1318591684103012,0.04678182303905487,0.020099999383091927,1.171089137929984e-11,4.1753e-12,0.1333501332334892,0.04816071797515886,0.021443747136931535,-0.0013155376961345969,0.018018020664859347
1896,DEU,0.08897232264280319,0.024239683523774147,0.030400000512599945,1.181452758995148e-11,4.1812e-12,0.08743569758215242,0.022794401276383436,0.028946025576451317,0.0014130721145786428,0.008849557842780978
1897,DEU,0.07765394449234009,0.02068159356713295,0.030899999663233757,1.2021799971208738e-11,4.1856e-12,0.07652108961949833,0.01960862935371188,0.029816293623832424,0.001052329474791989,0.01754385688967772
1898,DEU,0.08969160169363022,0.008858573623001575,0.03550000116229057,1.2021799971208738e-11,4.2091e-12,0.08360769951981628,0.0032259736657325178,0.02971865835092613,0.005614487767584013,0.0
