year,iso_domestic,asset_class,return
1997,CHE,Bills,0.009999999776482582
1998,CHE,Bills,0.008750000037252903
1999,CHE,Bills,0.010937499813735485
2000,CHE,Bills,0.03500000014901161
2001,CHE,Bills,0.016499999910593033
2002,CHE,Bills,0.004399999976158142
2003,CHE,Bills,0.0008999999845400453
2004,CHE,Bills,0.005499999970197678
2005,CHE,Bills,0.006300000008195639
2006,CHE,Bills,0.01940000057220459
2007,CHE,Bills,0.019999999552965164
2008,CHE,Bills,0.00009999999747378752
2009,CHE,Bills,0.0005000000237487257
2010,CHE,Bills,0.00039999998989515007
2011,CHE,Bills,0.000699999975040555
2012,CHE,Bills,-0.00019999999494757503
2013,CHE,Bills,0.00009999999747378752
2014,CHE,Bills,-0.019999999552965164
2015,CHE,Bills,-0.009999999776482582
2016,CHE,Bills,-0.009000000000000001
2017,CHE,Bills,-0.01
2018,CHE,Bills,-0.0095
2019,CHE,Bills,-0.01
2020,CHE,Bills,-0.0085
1871,DEU,Bills,0.04125000163912773
1872,DEU,Bills,0.04125000163912773
1873,DEU,Bills,0.04625000059604645
1874,DEU,Bills,0.03500000014901161
1875,DEU,Bills,0.04749999940395355
1876,DEU,Bills,0.03750000149011612
1877,DEU,Bills,0.03999999910593033
1878,DEU,Bills,0.04500000178813934
1879,DEU,Bills,0.03500000014901161
1880,DEU,Bills,0.03375000134110451
1881,DEU,Bills,0.04125000163912773
1882,DEU,Bills,0.038750000298023224
1883,DEU,Bills,0.03500000014901161
1884,DEU,Bills,0.02889999933540821
1885,DEU,Bills,0.02850000001490116
1886,DEU,Bills,0.02160000056028366
1887,DEU,Bills,0.023000000044703484
1888,DEU,Bills,0.0210999995470047
1889,DEU,Bills,0.02630000002682209
1890,DEU,Bills,0.03779999911785126
1891,DEU,Bills,0.03020000085234642
1892,DEU,Bills,0.017999999225139618
1893,DEU,Bills,0.031700000166893005
1894,DEU,Bills,0.017400000244379044
1895,DEU,Bills,0.020099999383091927
1896,DEU,Bills,0.030400000512599945
1897,DEU,Bills,0.030899999663233757
1898,DEU,Bills,0.03550000116229057
1899,DEU,Bills,0.04450000077486038
1900,DEU,Bills,0.04410000145435333
1901,DEU,Bills,0.03060000017285347
1902,DEU,Bills,0.021900000050663948
1903,DEU,Bills,0.03009999915957451
1904,DEU,Bills,0.03139999881386757
1905,DEU,Bills,0.02850000001490116
1906,DEU,Bills,0.04039999842643738
1907,DEU,Bills,0.05119999870657921
1908,DEU,Bills,0.03519999980926514
1909,DEU,Bills,0.028599999845027924
1910,DEU,Bills,0.03539999946951866
1911,DEU,Bills,0.03539999946951866
1912,DEU,Bills,0.0421999990940094
1913,DEU,Bills,0.049800001084804535
1914,DEU,Bills,0.03629999980330467
1915,DEU,Bills,0.03889999911189079
1916,DEU,Bills,0.04619999974966049
1917,DEU,Bills,0.046300001442432404
1918,DEU,Bills,0.046300001442432404
1919,DEU,Bills,0.046300001442432404
1920,DEU,Bills,0.03590000048279762
1921,DEU,Bills,0.0348999984562397
1922,DEU,Bills,0.05939999967813492
1924,DEU,Bills,0.11110000312328339
1925,DEU,Bills,0.0820000022649765
1926,DEU,Bills,0.06030000001192093
1927,DEU,Bills,0.07259999960660934
1928,DEU,Bills,0.07460000365972519
1929,DEU,Bills,0.08269999921321869
1930,DEU,Bills,0.05660000070929527
1931,DEU,Bills,0.08449999988079071
1932,DEU,Bills,0.05040000006556511
1933,DEU,Bills,0.05050000175833702
1934,DEU,Bills,0.045499999076128006
1935,DEU,Bills,0.034699998795986176
1936,DEU,Bills,0.03310000151395798
1937,DEU,Bills,0.031700000166893005
