year,iso,debt_share
1897,USA,0.06946527020312143
1898,BEL,0.026726805610993613
1898,DEU,0.17477039706694897
1898,DNK,0.003121252209363876
1898,FRA,0.32681724973423704
1898,GBR,0.17615973256567755
1898,ITA,0.14834277178011301
1898,JPN,0.012628972028104958
1898,NLD,0.02801110965041548
1898,NOR,0.0032220332535980436
1898,PRT,0.025780659031318844
1898,SWE,0.0043394255166430955
1898,USA,0.07007959155258564
1899,BEL,0.026716445496692866
1899,DEU,0.175319893443401
1899,DNK,0.0030756354724332615
1899,FRA,0.3214397059384569
1899,GBR,0.16983400310171098
1899,ITA,0.1482244026791152
1899,JPN,0.01310634083001643
1899,NLD,0.02855289793681301
1899,NOR,0.0035527832650400376
1899,PRT,0.025837965022140315
1899,SWE,0.0047171994129955
1899,USA,0.07962272740118445
1900,AUS,0.029438187796614296
1900,BEL,0.024164656019863735
1900,CHE,0.0010628966208190438
1900,DEU,0.15686400965282635
1900,DNK,0.0028333668345667763
1900,ESP,0.0927785188239461
1900,FRA,0.28407465446285
1900,GBR,0.14407759871488873
1900,ITA,0.13211672301122532
1900,JPN,0.012807865462329687
1900,NLD,0.025513534136973055
1900,NOR,0.0031715808349455196
1900,PRT,0.024971356401780165
1900,SWE,0.004478697673312348
1900,USA,0.061646353553058794
1901,AUS,0.026870346491671807
1901,BEL,0.02490499522469512
1901,CHE,0.0009981925302975034
1901,DEU,0.1638857866155221
1901,DNK,0.003129691940681284
1901,ESP,0.08821441727329073
1901,FRA,0.277911193406207
1901,GBR,0.15488543935262827
1901,ITA,0.1297722079824308
1901,JPN,0.013390031387095224
1901,NLD,0.02521620701571184
1901,NOR,0.0035049006057699342
1901,PRT,0.025084147219792116
1901,SWE,0.0044936417980627604
1901,USA,0.057738801156143486
1902,AUS,0.027406215425836385
1902,BEL,0.025556800224977118
1902,CHE,0.0009992878084328107
1902,DEU,0.16666300729729083
1902,DNK,0.0030090002293162764
1902,ESP,0.0873242453245417
1902,FRA,0.2695036568088229
1902,GBR,0.16459156027720165
1902,ITA,0.1293136931705671
1902,JPN,0.012809556476622271
1902,NLD,0.024455360784409096
1902,NOR,0.003380191321395714
1902,PRT,0.02664763032807135
1902,SWE,0.004347546120912792
1902,USA,0.05399224840160205
1903,AUS,0.027947546510306016
1903,BEL,0.02658575089878782
1903,CHE,0.001329862269306056
1903,DEU,0.1710038633405577
1903,DNK,0.0029479310251605394
1903,ESP,0.08258205725976055
1903,FRA,0.2661674133639403
1903,GBR,0.16943053294762905
1903,ITA,0.12982629408890417
1903,JPN,0.014278989339986536
1903,NLD,0.024239644428683125
1903,NOR,0.003426343635192195
1903,PRT,0.023448152072832316
1903,SWE,0.004269472043022039
1903,USA,0.052516146775931645
1904,AUS,0.027759089091833555
1904,BEL,0.02740660527059504
1904,CHE,0.0011226386532009111
1904,DEU,0.17509625279074997
1904,DNK,0.0028853999181203847
1904,ESP,0.0789878401295615
1904,FRA,0.26275601269676013
1904,GBR,0.16489399930397014
1904,ITA,0.12866819702368518
1904,JPN,0.022702062209916354
1904,NLD,0.024105735919267565
1904,NOR,0.00385621237068146
1904,PRT,0.024449100488166592
1904,SWE,0.004676082799519068
1904,USA,0.050634771333972095
1905,AUS,0.026962001154296353
1905,BEL,0.02705240765391399
1905,CHE,0.0011089830949673923
1905,DEU,0.17710516801932488
1905,DNK,0.0027355378165722912
1905,ESP,0.07866072389454222
1905,FRA,0.25301950924654887
1905,GBR,0.15644412551680037
1905,ITA,0.12436322511875594
1905,JPN,0.043855502763759914
1905,NLD,0.02376136940012151
1905,NOR,0.004090210153740319
1905,PRT,0.02791779231629652
1905,SWE,0.004699529128616795
1905,USA,0.048223914721742686
1906,AUS,0.02716180195638786
1906,BEL,0.026778444558414917
1906,CHE,0.0010356910313950903
1906,DEU,0.17774919390385768
1906,DNK,0.0027906517570075833
1906,ESP,0.08907631894186648
1906,FRA,0.24303123105389213
1906,GBR,0.15199192408918233
1906,ITA,0.12134387891696118
1906,JPN,0.05134174751652133
1906,NLD,0.023159260356124544
1906,NOR,0.003886070233398308
1906,PRT,0.028525392995025246
1906,SWE,0.004705835624227026
1906,USA,0.047422557065738294
1907,AUS,0.02684357503343727
1907,BEL,0.027342946233434876
1907,CHE,0.0010060888481167114
1907,DEU,0.1825416967701497
1907,DNK,0.002820273296638915
1907,ESP,0.08947110756204835
1907,FRA,0.24071612446509813
1907,GBR,0.14904203524124898
1907,ITA,0.12307007240826735
1907,JPN,0.050086571731234084
1907,NLD,0.023442403796827733
1907,NOR,0.0038134509890281124
1907,PRT,0.027203662091128632
1907,SWE,0.005126732809363552
1907,USA,0.04747325872397762
1908,AUS,0.026848026214560654
1908,BEL,0.028743316420996395
1908,CHE,0.0010257442766937529
1908,DEU,0.19601307274148505
1908,DNK,0.002769108956804598
1908,ESP,0.08626775429753258
1908,FRA,0.23940303382684341
1908,GBR,0.1411484772797077
1908,ITA,0.1236711360363319
1908,JPN,0.04926535277073698
1908,NLD,0.023536999058116466
1908,NOR,0.00377861708962688
1908,PRT,0.023903910645737606
1908,SWE,0.005656076831015891
1908,USA,0.04796937355381008
1909,AUS,0.02632574918300647
1909,BEL,0.028220885502385627
1909,CHE,0.0012234864821965964
1909,DEU,0.203126182275946
1909,DNK,0.003141494748034294
1909,ESP,0.08496440598579838
1909,FRA,0.24681497934581043
1909,GBR,0.13443369470060737
1909,ITA,0.11923866850818353
1909,JPN,0.05290519085903479
1909,NLD,0.02268648152319927
1909,NOR,0.003647559490638169
1909,PRT,0.022921567182140223
1909,SWE,0.0057561276258500296
1909,USA,0.04459352658716884
1910,AUS,0.027282485040518927
1910,BEL,0.028839261483738634
1910,CHE,0.0011846337163376865
1910,DEU,0.2052253651209147
1910,DNK,0.0034881899417621475
1910,ESP,0.07345046215921859
1910,FRA,0.2437130493699936
1910,GBR,0.13843840171469224
1910,ITA,0.12179889317134653
1910,JPN,0.05369595272618896
1910,NLD,0.02283914798066141
1910,NOR,0.004014343524219522
1910,PRT,0.02584891182579733
1910,SWE,0.005647695566042864
1910,USA,0.044533206658566894
1911,AUS,0.02019025005266477
1911,BEL,0.029833146059860417
1911,CHE,0.0011403793400692657
1911,DEU,0.20843914605295416
1911,DNK,0.0036956787291242484
1911,ESP,0.07292544623926912
1911,FRA,0.2472586371482883
1911,GBR,0.13339397100953126
1911,ITA,0.12356090416897181
1911,JPN,0.054580077999614035
1911,NLD,0.023615315136086567
1911,NOR,0.004026874504360221
1911,PRT,0.025610832726159743
1911,SWE,0.006421397057774825
1911,USA,0.04530794377527121
1912,AUS,0.030594264932714048
1912,BEL,0.030133779742951967
1912,CHE,0.0010967476549921182
1912,DEU,0.2070955886297457
1912,DNK,0.003654291043931546
1912,ESP,0.07193818795909579
1912,FRA,0.24323145111706376
1912,GBR,0.12841238045127426
1912,ITA,0.12421793383518114
1912,JPN,0.05536193830120627
1912,NLD,0.0233203342323167
1912,NOR,0.003903064692807699
1912,PRT,0.024810881061109794
1912,SWE,0.006233248284417002
1912,USA,0.04599590806119211
1913,AUS,0.03281712556619396
1913,BEL,0.030910402952115865
1913,CHE,0.0011058380871422431
1913,DEU,0.21473891717571525
1913,DNK,0.0036338951822094904
1913,ESP,0.07101889315857043
1913,FRA,0.24067148837621033
1913,GBR,0.12376987090017241
1913,ITA,0.12620187284427428
1913,JPN,0.05285875018243039
1913,NLD,0.023565286730986772
1913,NOR,0.0037062084112624827
1913,PRT,0.023177643235902032
1913,SWE,0.006567517433711247
1913,USA,0.04525628976310274
1914,AUS,0.03733992395152808
1914,CHE,0.002494200102743414
1914,DEU,0.21817554091346705
1914,DNK,0.003703401143710974
1914,ESP,0.07470583420713135
1914,FIN,0.0011218786142467834
1914,FRA,0.24452312999214038
1914,GBR,0.1260807992914825
1914,ITA,0.1382853840628757
1914,JPN,0.05120115837836743
1914,NLD,0.023942419226725162
1914,NOR,0.0035129436105555936
1914,PRT,0.021745871905612144
1914,SWE,0.007372450369802298
1914,USA,0.04579506422961115
1915,AUS,0.036801794315797394
1915,DEU,0.19886996487410483
1915,ESP,0.07105954451849024
1915,FIN,0.0008741230281293105
1915,FRA,0.22288614969782575
1915,GBR,0.1921957416343981
1915,ITA,0.13691637763275338
1915,JPN,0.04591945345824307
1915,NLD,0.02182383987996347
1915,NOR,0.004010597678200612
1915,PRT,0.01843203789245153
1915,SWE,0.008361144087552952
1915,USA,0.04184923130208938
1916,AUS,0.035866035203842565
1916,CHE,0.00500388661013641
1916,DEU,0.16090473345870326
1916,DNK,0.0037104006348305696
1916,ESP,0.06040698497080132
1916,FIN,0.0007590758305121946
1916,FRA,0.18033611325606025
1916,GBR,0.3032503371154775
1916,ITA,0.1292453289625745
1916,JPN,0.041092160054271236
1916,NLD,0.017657564032627773
1916,NOR,0.003303855469532073
1916,PRT,0.015528510021827712
1916,SWE,0.008111953890322184
1916,USA,0.0348230604884805
1917,AUS,0.03020695339290248
1917,CHE,0.005180369428633675
1917,DEU,0.11519450853564518
1917,DNK,0.0036005188943531046
1917,ESP,0.05207584846352202
1917,FIN,0.0007644344247732024
1917,FRA,0.1291057726595219
1917,GBR,0.40327971481675084
1917,ITA,0.13493543525431775
1917,JPN,0.030457987648314356
1917,NLD,0.012641358442057816
1917,NOR,0.0030299556236775796
1917,PRT,0.01107989406065982
1917,SWE,0.007896520236121609
1917,USA,0.060550728118748676
1918,AUS,0.02631600798818818
1918,CHE,0.005248949817536232
1918,DEU,0.08022615854967961
