year,iso_domestic,iso_foreign
1931,PRT,AUS
1931,SWE,AUS
1932,BEL,AUS
1932,CHE,AUS
1932,DEU,AUS
1932,DNK,AUS
1932,ESP,AUS
1932,FIN,AUS
1932,FRA,AUS
1932,ITA,AUS
1932,JPN,AUS
1932,NLD,AUS
1932,NOR,AUS
1932,PRT,AUS
1932,SWE,AUS
1933,BEL,AUS
1933,CHE,AUS
1933,DEU,AUS
1933,DNK,AUS
1933,ESP,AUS
1933,FIN,AUS
1933,FRA,AUS
1933,ITA,AUS
1933,JPN,AUS
1933,NLD,AUS
1933,NOR,AUS
1933,PRT,AUS
1933,SWE,AUS
1934,BEL,AUS
1934,CHE,AUS
1934,DEU,AUS
1934,DNK,AUS
1934,ESP,AUS
1934,FIN,AUS
1934,FRA,AUS
1934,ITA,AUS
1934,JPN,AUS
1934,NLD,AUS
1934,NOR,AUS
1934,PRT,AUS
1934,SWE,AUS
1935,BEL,AUS
1935,CHE,AUS
1935,DEU,AUS
1935,DNK,AUS
1935,ESP,AUS
1935,FIN,AUS
1935,FRA,AUS
1935,ITA,AUS
1935,JPN,AUS
1935,NLD,AUS
1935,NOR,AUS
1935,PRT,AUS
1935,SWE,AUS
1936,BEL,AUS
1936,CHE,AUS
1936,DEU,AUS
1936,DNK,AUS
1936,FIN,AUS
1936,FRA,AUS
1936,ITA,AUS
1936,JPN,AUS
1936,NLD,AUS
1936,NOR,AUS
1936,PRT,AUS
1936,SWE,AUS
1937,BEL,AUS
1937,CHE,AUS
1937,DEU,AUS
1937,DNK,AUS
1937,FIN,AUS
1937,FRA,AUS
1937,ITA,AUS
1937,JPN,AUS
1937,NLD,AUS
1937,NOR,AUS
1937,PRT,AUS
1937,SWE,AUS
1938,BEL,AUS
1938,CHE,AUS
1938,DEU,AUS
1938,DNK,AUS
1938,FIN,AUS
1938,FRA,AUS
1938,ITA,AUS
1938,JPN,AUS
1938,NLD,AUS
1938,NOR,AUS
1938,PRT,AUS
1938,SWE,AUS
1939,BEL,AUS
1939,CHE,AUS
1939,DEU,AUS
1939,DNK,AUS
1939,FIN,AUS
1939,FRA,AUS
1939,ITA,AUS
1939,JPN,AUS
1939,NLD,AUS
1939,NOR,AUS
