year,iso_domestic,weights_sum_check,foreign_tr_hedged,foreign_tr_unhedged,domestic_tr,asset_class
1974,CHE,true,-0.2397081366108042,-0.39569389548527545,-0.33138006925582886,Equities
1927,PRT,true,0.2350988070896429,0.27954626499052243,0.3461938798427582,Equities
1955,DEU,true,0.26783112684358373,0.27692344072039077,0.1104106679558754,Equities
2001,ESP,true,-0.1454098936323982,-0.12269717561111851,-0.036376893520355225,Equities
1969,NLD,true,-0.020216928578544215,-0.015311772875476672,-0.030795181170105934,Equities
1978,FRA,true,0.08932988438377082,0.009325218742649837,0.6209439635276794,Equities
1959,DEU,true,0.23168155239113294,0.2290630466415718,0.8196190595626831,Equities
1887,GBR,true,0.014900435739657108,0.014507836963304023,0.031700000166893005,Equities
1981,JPN,true,0.037165729321268645,0.04633033229499565,0.17547585070133206,Equities
1920,DEU,true,-0.17958505019043408,1.3692298942402927,0.6850277781486511,Equities
1900,FIN,true,0.08107468860356301,0.07548219922282437,-0.024350168183445927,Equities
1994,PRT,true,0.014318741745624078,-0.023994154342226463,0.08415631204843521,Equities
1969,CHE,true,-0.021712944095942772,-0.018078832682197905,0.044843293726444244,Equities
1960,USA,true,0.10033721317255272,0.10911022478087534,-0.005248899571597576,Equities
1978,SWE,true,0.10371524726325743,0.06181990303420756,0.2137739360332489,Equities
2004,ITA,true,0.158203608649723,0.11116537663157353,0.2637886106967926,Equities
1954,DEU,true,0.44213313142857713,0.4445375186111753,0.8926240801811219,Equities
1888,NOR,true,0.10533130319537667,0.10722862431979674,0.0784548968076706,Equities
1982,JPN,true,0.1804881330195421,0.2190612873883603,0.006099101155996323,Equities
1949,NLD,true,0.13303855234545053,0.01898076325734286,-0.0282469131052494,Equities
1956,AUS,true,0.05719690975182964,0.06041581876478676,0.07699999958276749,Equities
1921,USA,true,-0.024637265937571796,0.02434328572075435,0.1409691572189331,Equities
1931,ITA,true,-0.2865573891577956,-0.31554926858252447,-0.2731724679470062,Equities
1925,BEL,true,0.20332283490856184,0.23497825834208286,0.07084638625383377,Equities
1896,GBR,true,0.07579546655610993,0.07879560743815849,0.12210000306367874,Equities
1906,FRA,true,0.10125419248797578,0.10629263791329151,0.028873179107904434,Equities
