iso_domestic,asset_class,weights_sum_check,foreign_tr_hedged_mean,foreign_tr_hedged_std,foreign_tr_unhedged_mean,foreign_tr_unhedged_std,domestic_tr_mean,domestic_tr_std
GBR,CPI,true,,,,,0.031748988584459396,0.054963519224119683
GBR,Equities,true,0.10127154401222409,0.1341586516743694,0.11706002434504299,0.1517614428571849,0.0999820451636333,0.19291553995546593
ITA,Bills,true,,,,,0.05803492797458222,0.04009120414151802
ITA,Bonds,true,0.05187022371861864,0.061584188179727765,0.16715209657915742,0.9596333308544819,0.07465687020896719,0.09190395873461078
ITA,CPI,true,,,,,0.08106741854379057,0.3222433278937177
ITA,Equities,true,0.10297741632415439,0.13190716428834776,0.224700174279831,1.1069684350461533,0.12978161351817946,0.31306676147455414
JPN,Bills,true,,,,,0.04148384869510478,0.027364724560168245
JPN,Bonds,true,0.05446932791478718,0.06939416226051333,0.0810891725885941,0.2319693769879811,0.05713220468470197,0.047600970463631445
JPN,CPI,true,,,,,0.11474906541541605,0.8482159129890646
JPN,Equities,true,0.10266445563428549,0.1381063459986878,0.12355133974461073,0.22300680956551006,0.13499305950573126,0.2644237000359989
NLD,Bills,true,,,,,0.03541938273541271,0.023959992072145306
NLD,Bonds,true,0.052456296493101885,0.06466611222888255,0.06464961971935006,0.15789517640086734,0.04737865883753104,0.0760473785415757
NLD,CPI,true,,,,,0.030458081897963264,0.04744910425548898
NLD,Equities,true,0.103874896286448,0.13807475605258218,0.1111832740219532,0.19429886534115476,0.10328198186976235,0.22526562966257668
NOR,Bills,true,,,,,0.03769142862687153,0.02089763524627385
NOR,Bonds,true,0.050977140649028994,0.06039785314008611,0.0705023889897666,0.13328296919603477,0.0513614270445292,0.06364911791687222
NOR,CPI,true,,,,,0.03279771296326681,0.06436417921594235
NOR,Equities,true,0.09794434407697561,0.130711455395119,0.10974616324470693,0.1482713438830508,0.08956293812797023,0.20024502825912113
PRT,Bills,true,,,,,0.05650472561457775,0.04363482600936547
PRT,Bonds,true,0.050847550053448404,0.060314929466972006,0.11162941823217018,0.21564621319968635,0.07925028042580456,0.127450945899853
PRT,CPI,true,,,,,0.06866998795628236,0.13780376370396838
PRT,Equities,true,0.09835430593795469,0.1301533331515776,0.15376016281822055,0.22186519064027777,0.09660996301485646,0.2720846146885204
SWE,Bills,true,,,,,0.0434315851758496,0.02476751338648887
SWE,Bonds,true,0.05170306466264733,0.05860826432285561,0.07035863276605694,0.14003089702184765,0.05863017676553379,0.0845303003957738
SWE,CPI,true,,,,,0.029657051421512943,0.06404740485211652
SWE,Equities,true,0.09796637125672523,0.12760045918353125,0.10919368581796209,0.14663375953490637,0.11039284025124894,0.1975021809003119
USA,Bills,true,,,,,0.04071634470000613,0.02599956362929053
USA,Bonds,true,0.053222783316667376,0.05737393856391596,0.06817774931762272,0.1412970399013746,0.04764472036552147,0.07820785253013766
USA,CPI,true,,,,,0.021046021811876883,0.04407165473789415
USA,Equities,true,0.09216272198536617,0.12520047756820318,0.09951928813812762,0.1571740772509243,0.10488211807651107,0.17764180967251006
